INFO:root:__init__
INFO:root:setup
INFO:root:start
INFO:root:connected
INFO:root:subscribed to topic=usuario/actuator_pwm
INFO:root:send message: {"temperature": 46.48045670120291}
INFO:root:send message: {"temperature": 46.52945727529593}
INFO:root:send message: {"temperature": 46.57838636075018}
INFO:root:send message: {"temperature": 46.62724406186292}
INFO:root:send message: {"temperature": 46.67603048277924}
INFO:root:send message: {"temperature": 46.72474572749229}
INFO:root:send message: {"temperature": 46.77338989984351}
INFO:root:send message: {"temperature": 46.82196310352283}
INFO:root:send message: {"temperature": 46.87046544206892}
INFO:root:send message: {"temperature": 46.91889701886937}
INFO:root:send message: {"temperature": 46.96725793716096}
INFO:root:send message: {"temperature": 47.015548300029835}
INFO:root:send message: {"temperature": 47.06376821041175}
INFO:root:send message: {"temperature": 47.11191777109229}
INFO:root:send message: {"temperature": 47.15999708470706}
INFO:root:send message: {"temperature": 47.208006253741964}
INFO:root:send message: {"temperature": 47.255945380533355}
INFO:root:send message: {"temperature": 47.303814567268304}
INFO:root:send message: {"temperature": 47.35161391598477}
INFO:root:send message: {"temperature": 47.399343528571876}
INFO:root:send message: {"temperature": 47.44700350677007}
INFO:root:send message: {"temperature": 47.4945939521714}
INFO:root:send message: {"temperature": 47.54211496621966}
INFO:root:send message: {"temperature": 47.58956665021067}
INFO:root:send message: {"temperature": 47.636949105292445}
INFO:root:send message: {"temperature": 47.68426243246546}
INFO:root:send message: {"temperature": 47.731506732582815}
INFO:root:send message: {"temperature": 47.77868210635047}
INFO:root:send message: {"temperature": 47.82578865432748}
INFO:root:send message: {"temperature": 47.872826476926186}
INFO:root:send message: {"temperature": 47.91979567441241}
INFO:root:send message: {"temperature": 47.966696346905735}
INFO:root:send message: {"temperature": 48.01352859437963}
INFO:root:send message: {"temperature": 48.06029251666173}
INFO:root:send message: {"temperature": 48.10698821343405}
INFO:root:send message: {"temperature": 48.15361578423315}
INFO:root:send message: {"temperature": 48.200175328450364}
INFO:root:send message: {"temperature": 48.24666694533204}
INFO:root:send message: {"temperature": 48.29309073397973}
INFO:root:send message: {"temperature": 48.3394467933504}
INFO:root:send message: {"temperature": 48.38573522225664}
INFO:root:send message: {"temperature": 48.43195611936689}
INFO:root:send message: {"temperature": 48.47810958320561}
INFO:root:send message: {"temperature": 48.52419571215357}
INFO:root:send message: {"temperature": 48.57021460444796}
INFO:root:send message: {"temperature": 48.61616635818268}
INFO:root:send message: {"temperature": 48.6620510713085}
INFO:root:send message: {"temperature": 48.70786884163329}
INFO:root:send message: {"temperature": 48.753619766822226}
INFO:root:send message: {"temperature": 48.799303944398005}
INFO:root:send message: {"temperature": 48.84492147174103}
INFO:root:send message: {"temperature": 48.89047244608964}
INFO:root:send message: {"temperature": 48.93595696454032}
INFO:root:send message: {"temperature": 48.98137512404787}
INFO:root:send message: {"temperature": 49.02672702142567}
INFO:root:send message: {"temperature": 49.07201275334583}
INFO:root:send message: {"temperature": 49.11723241633944}
INFO:root:send message: {"temperature": 49.162386106796745}
INFO:root:send message: {"temperature": 49.20747392096739}
INFO:root:send message: {"temperature": 49.252495954960544}
INFO:root:send message: {"temperature": 49.297452304745214}
INFO:root:send message: {"temperature": 49.34234306615036}
INFO:root:send message: {"temperature": 49.387168334865166}
INFO:root:send message: {"temperature": 49.43192820643917}
INFO:root:send message: {"temperature": 49.47662277628254}
INFO:root:send message: {"temperature": 49.52125213966623}
INFO:root:send message: {"temperature": 49.56581639172222}
INFO:root:send message: {"temperature": 49.61031562744368}
INFO:root:send message: {"temperature": 49.65474994168521}
INFO:root:send message: {"temperature": 49.69911942916299}
INFO:root:send message: {"temperature": 49.743424184455044}
INFO:root:send message: {"temperature": 49.78766430200142}
INFO:root:send message: {"temperature": 49.83183987610434}
INFO:root:send message: {"temperature": 49.8759510009285}
INFO:root:send message: {"temperature": 49.91999777050118}
INFO:root:send message: {"temperature": 49.9639802787125}
INFO:root:send message: {"temperature": 50.00789861931558}
INFO:root:send message: {"temperature": 50.051752885926774}
INFO:root:send message: {"temperature": 50.095543172025856}
INFO:root:send message: {"temperature": 50.139269570956216}
INFO:root:send message: {"temperature": 50.18293217592506}
INFO:root:send message: {"temperature": 50.22653108000361}
INFO:root:send message: {"temperature": 50.27006637612732}
INFO:root:send message: {"temperature": 50.313538157096026}
INFO:root:send message: {"temperature": 50.35694651557421}
INFO:root:send message: {"temperature": 50.40029154409113}
INFO:root:send message: {"temperature": 50.44357333504108}
INFO:root:send message: {"temperature": 50.48679198068353}
INFO:root:send message: {"temperature": 50.52994757314336}
INFO:root:send message: {"temperature": 50.57304020441106}
INFO:root:send message: {"temperature": 50.61606996634289}
INFO:root:send message: {"temperature": 50.65903695066111}
INFO:root:send message: {"temperature": 50.70194124895416}
INFO:root:send message: {"temperature": 50.74478295267686}
INFO:root:send message: {"temperature": 50.78756215315059}
INFO:root:send message: {"temperature": 50.83027894156352}
INFO:root:send message: {"temperature": 50.87293340897078}
INFO:root:send message: {"temperature": 50.91552564629464}
INFO:root:send message: {"temperature": 50.95805574432472}
INFO:root:send message: {"temperature": 51.00052379371821}
INFO:root:send message: {"temperature": 51.04292988500001}
INFO:root:send message: {"temperature": 51.08527410856297}
INFO:root:send message: {"temperature": 51.12755655466803}
INFO:root:send message: {"temperature": 51.1697773134445}
INFO:root:send message: {"temperature": 51.211936474890145}
INFO:root:send message: {"temperature": 51.25403412887145}
INFO:root:send message: {"temperature": 51.296070365123796}
INFO:root:send message: {"temperature": 51.338045273251645}
INFO:root:send message: {"temperature": 51.37995894272872}
INFO:root:send message: {"temperature": 51.421811462898205}
INFO:root:send message: {"temperature": 51.46360292297297}
INFO:root:send message: {"temperature": 51.50533341203568}
INFO:root:send message: {"temperature": 51.54700301903909}
INFO:root:send message: {"temperature": 51.58861183280612}
INFO:root:send message: {"temperature": 51.63015994203017}
INFO:root:send message: {"temperature": 51.671647435275176}
INFO:root:send message: {"temperature": 51.7130744009759}
INFO:root:send message: {"temperature": 51.75444092743808}
INFO:root:send message: {"temperature": 51.79574710283863}
INFO:root:send message: {"temperature": 51.8369930152258}
